sep=,
"flag","Vessel Name","registeredOwner","callSign","MMSI","imo","shipType","destination","eta","navigationStatus","Latitude","Longitude","age","timeOfFix"
"Panama","XING HE SHENG","Hongkong Yusheng Shipping Co","3EIF4","372134000","9304148","7-Cargo","Singapore","9030700","0-Underway(Engine)","-14.6547","44.8779","56s","2025-08-19T05:49:33.000Z"
"Panama","DRAGON SKY","Alba Navigation SA","3EXW3","372572000","9539250","7-Cargo","Sg Sin Pebgb","9030800","0-Underway(Engine)","-25.175878","47.246988","6m36s","2025-08-19T05:43:53.000Z"
"Panama","IZUMO HERMES","Cedar Valley SA","3EIG4","374134000","9852212","7-Cargo","Sn Dkr","9081800","0-Underway(Engine)","-24.637477","48.88003","16m50s","2025-08-19T05:33:39.000Z"
"Bangladesh","MEGHNA PRESTIGE","Meghna Sugar Refinery Ltd","S2CJ9","405000383","9928839","7-Cargo","Tamatave","8081430","5-Moored","-18.155313","49.424213","47s","2025-08-19T05:49:42.000Z"
"China, People's Republic Of","GUO YUAN 22","Minsheng Financial Leasing Co","BFED","414098000","9579298","7-Cargo","Ar Nec","9061100","0-Underway(Engine)","-24.454925","50.3117","16m12s","2025-08-19T05:34:17.000Z"
"India","MAHA JACQUELINE","BG Shirke Construction Tech","AVFL","419000116","9185073","7-Cargo","Santos","9071000","0-Underway(Engine)","-25.96404","46.960195","3m11s","2025-08-19T05:47:18.000Z"
"India","MAHA ROOS","BG Shirke Construction Tech","AVFT","419000124","9231004","7-Cargo","Brssz","8091000","0-Underway(Engine)","-26.2134","46.848133","55s","2025-08-19T05:49:34.000Z"
"Japan","ONE MINATO","TLC Arnica/Pontus/FS Fame","7KDF","431929000","9805477","7-Cargo","Sgsin","9020230","0-Underway(Engine)","-25.978917","49.36657","2m29s","2025-08-19T05:48:00.000Z"
"Japan","ONE MEISHAN","FC Top/Kaikias/TLC Japonica","7KCA","431989000","9805465","7-Cargo","Cahal","9110730","0-Underway(Engine)","-13.568617","47.197337","27m17s","2025-08-19T05:23:12.000Z"
"Japan","CAPE RELIANCE","Kawasaki Kisen Kaisha Ltd","7JRF","432974000","9621326","7-Cargo","Sg Sin Pebg""b""","9020100","0-Underway(Engine)","-24.898193","48.371743","3m07s","2025-08-19T05:47:22.000Z"
"Mongolia","Kamar Al Khair","null","JVCD8","457900618","0","7-Cargo","","0","15-NotDefined","-15.72611","46.317395","8m38s","2025-08-19T05:41:51.000Z"
"Hong Kong, China","ZIM AQUAMARINE","Solt Holding Panama 79 SA","VRVK6","477025700","9968097","7-Cargo","Singapore","8301600","0-Underway(Engine)","-25.213482","50.436517","18m16s","2025-08-19T05:32:13.000Z"
"Hong Kong, China","COSCO EXCELLENCE","SPDBFL One Hundred Twenty Four","VRJT8","477135600","9472189","7-Cargo","Mypkg","9011800","0-Underway(Engine)","-27.938417","42.783488","18m50s","2025-08-19T05:31:39.000Z"
"Hong Kong, China","SEASPAN FALCON","Jianian International Ship","VRRN8","477154200","9793909","7-Cargo","Sgsin","8300500","0-Underway(Engine)","-11.436295","48.34841","33s","2025-08-19T05:49:56.000Z"
"Hong Kong, China","SEASPAN LAHORE","Seaspan 1543 Ltd","VRBY8","477241800","9301811","7-Cargo","Aejea","8290100","0-Underway(Engine)","-15.766807","43.756048","1m14s","2025-08-19T05:49:15.000Z"
"Hong Kong, China","GREAT VISION","On Great Ltd","VRNP3","477307800","9728681","7-Cargo","In Bed>mg Toa","8110942","1-AtAnchor","-18.103473","49.420025","14m28s","2025-08-19T05:36:01.000Z"
"Hong Kong, China","EASTERN RIVER","CEBFL No 5 Tianjin Ship","VRJI6","477328600","9459357","7-Cargo","Mu Plu","8202330","0-Underway(Engine)","-22.837033","51.59495","2m42s","2025-08-19T05:47:47.000Z"
"Hong Kong, China","AMOY POWER","Wenjie Maritime Ltd","VRSW7","477392400","9847384","7-Cargo","Sgp Pebgb","9021200","0-Underway(Engine)","-25.711497","46.78678","6m36s","2025-08-19T05:43:53.000Z"
"Hong Kong, China","GUO HAI LIAN 638","Ocean Abundance Shipping Ltd","VRNR9","477466500","9591545","7-Cargo","Za Rcb","8240400","0-Underway(Engine)","-22.164658","51.043437","17m24s","2025-08-19T05:33:05.000Z"
"Hong Kong, China","CSSC TAI YUAN","Bulker Dedication Co Ltd","VRTJ9","477615900","9865908","7-Cargo","Sg","9031300","0-Underway(Engine)","-26.560953","46.329308","3m11s","2025-08-19T05:47:18.000Z"
"Hong Kong, China","MAERSK GIBRALTAR","GC Intermodal XX Ltd","VRPN6","477636200","9739692","7-Cargo","Colombo","8260030","0-Underway(Engine)","-24.2111","49.359317","2m38s","2025-08-19T05:47:51.000Z"
"Hong Kong, China","SHANDONG RENAISSANCE","Tianjin White Dew Leasing Ltd","VRUJ8","477736600","9910739","7-Cargo","Gn Kmr","9041200","0-Underway(Engine)","-23.774968","51.014045","38s","2025-08-19T05:49:51.000Z"
"Hong Kong, China","JIN LI","Tianjin Jinhaiba Leasing Co","VRWB9","477957200","9855525","7-Cargo","Sg Sin","9021100","0-Underway(Engine)","-24.360028","50.225475","17m10s","2025-08-19T05:33:19.000Z"
"Hong Kong, China","YI DA","Yi Da Shipping SA","VRHP9","477963200","9431252","7-Cargo","Gn Boffa","9082300","0-Underway(Engine)","-27.686167","46.013833","16m31s","2025-08-19T05:33:58.000Z"
"Hong Kong, China","COSCO SHIPPING MEXICO","COSCO Shipping Mexico Ltd","VRWD5","477965200","9945863","7-Cargo","Lkcmb","8261230","0-Underway(Engine)","-27.639587","43.435862","19m24s","2025-08-19T05:31:05.000Z"
"Marshall Islands","REGNO MARINUS","Primavera Montana SA","V7PK8","538003251","9343467","7-Cargo","Za Rcb","8222000","0-Underway(Engine)","-23.253083","50.971328","16m49s","2025-08-19T05:33:40.000Z"
"Marshall Islands","KINAROS ISLAND","Dreaming Shipping SA","V7BQ9","538005190","9332963","7-Cargo","Mgtle","8131000","5-Moored","-25.065497","46.964068","4m55s","2025-08-19T05:45:34.000Z"
"Marshall Islands","SAN FELIPE","SFL Loire Inc","V7GN7","538005732","9698628","7-Cargo","Muplu","8210300","0-Underway(Engine)","-25.957387","45.701755","18m44s","2025-08-19T05:31:45.000Z"
"Marshall Islands","SSI RELIANCE","Eagle Wind Shipping Inc","V7HN6","538005855","9655224","7-Cargo","Zadur","8220300","0-Underway(Engine)","-25.275988","47.683833","20m00s","2025-08-19T05:30:29.000Z"
"Marshall Islands","NEW ORLEANS","Fair Wind Marshall SA","V7LA2","538006242","9743265","7-Cargo","Sg Sin-pebgb","9021800","0-Underway(Engine)","-27.189955","47.464912","16m20s","2025-08-19T05:34:09.000Z"
"Marshall Islands","SAN FRANCISCO","Aster Shipping Co Inc","V7LG9","538006279","9696747","7-Cargo","Tubarao","9062000","0-Underway(Engine)","-25.307033","47.28305","3m27s","2025-08-19T05:47:02.000Z"
"Marshall Islands","GOLDEN BEHIKE","Golden Behike Ltd","V7MG2","538006354","9722417","7-Cargo","Cogh","8231700","0-Underway(Engine)","-28.216947","43.37597","19m40s","2025-08-19T05:30:49.000Z"
"Marshall Islands","SEA PONTA DA MADEIRA","POS Maritime UB SA","V7ES8","538007230","9575503","7-Cargo","Brpma","9090100","0-Underway(Engine)","-21.992123","51.28575","15m45s","2025-08-19T05:34:44.000Z"
"Marshall Islands","ICARIUS","Icarius Shipowning Ltd","V7EX4","538007770","9308247","7-Cargo","Mg Tle","8171600","1-AtAnchor","-23.334965","43.608512","34m24s","2025-08-19T05:16:05.000Z"
"Marshall Islands","ND ARISTEIA","Nerites Shipowning Co Ltd","V7A2374","538008453","9788681","7-Cargo","Singapore","8310800","0-Underway(Engine)","-21.939815","51.02857","2m37s","2025-08-19T05:47:52.000Z"
"Marshall Islands","WHEAT WEIFANG","Hai Kuo Shipping 1923B Ltd","V7A4172","538008994","9883766","7-Cargo","Br Ssz","9061730","0-Underway(Engine)","-25.464652","48.633423","16m24s","2025-08-19T05:34:05.000Z"
"Marshall Islands","ALPHA TREASURE","Garland Marine Co","V7A4825","538009506","9919216","7-Cargo","Gn Brp","9101000","0-Underway(Engine)","-27.396042","44.639208","31m56s","2025-08-19T05:18:33.000Z"
"Marshall Islands","CLIPPER DEE","CL Kelamayi Ltd","V7A5003","538009655","9455923","7-Cargo","Walvis Bay","8290600","0-Underway(Engine)","-16.049587","43.017468","2m21s","2025-08-19T05:48:08.000Z"
"Marshall Islands","VIKING BRAVERY","Gram Car Carriers Shipowning 4","V7A5090","538009727","9673020","7-Cargo","Za Dur","8210400","0-Underway(Engine)","-26.033313","45.387955","3m25s","2025-08-19T05:47:04.000Z"
"Marshall Islands","DARYA RUCHI","Ruchi Shipping Ltd","V7A5264","538009862","9922299","7-Cargo","Sg Sin","9010700","0-Underway(Engine)","-25.655877","46.984813","15m06s","2025-08-19T05:35:23.000Z"
"Marshall Islands","FAYSTON FARMS","Fayston Farms Shipping Ltd","V7A5290","538009884","9344552","7-Cargo","Toamasina","8180300","1-AtAnchor","-18.084017","49.425233","5m56s","2025-08-19T05:44:33.000Z"
"Marshall Islands","ARUNA EAGLE","Sun Marine Inc","V7A6038","538010438","9494486","7-Cargo","Ghtem","9031800","0-Underway(Engine)","-26.978795","45.958602","2m20s","2025-08-19T05:48:09.000Z"
"Marshall Islands","MARIVICTORIA","LS-MHL24 Co Ltd","V7A6363","538010954","9484493","7-Cargo","Lkhba>zarcb","8202300","0-Underway(Engine)","-26.798683","41.729083","2m33s","2025-08-19T05:47:56.000Z"
"Marshall Islands","SEA LYRA","Lion I Shipowning Inc","V7A3155","538011578","1018755","7-Cargo","Sg Sin","9020200","0-Underway(Engine)","-23.428085","49.670367","25m45s","2025-08-19T05:24:44.000Z"
"Singapore","MP ULTRAMAX 1","M Pallonji Logistics Singapore","9V5106","563006900","9703590","7-Cargo","Ng Lag","9011530","0-Underway(Engine)","-25.367075","47.89138","2m22s","2025-08-19T05:48:07.000Z"
"Singapore","TAIPEI TRIUMPH","IS Container Pte Ltd","9V3478","563029900","9737498","7-Cargo","Port Klang","8301700","0-Underway(Engine)","-27.859322","46.252912","1m30s","2025-08-19T05:48:59.000Z"
"Singapore","TONG YING","Tong Ying Shipping Pte Ltd","9V5545","563046400","9717163","7-Cargo","Singapore","9032000","0-Underway(Engine)","-27.74818","43.660902","1m03s","2025-08-19T05:49:26.000Z"
